SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"1795","375","2","1978","Normal","Castle","Historical","Classic","Castle","X","375-2","","","","","","","767","14","cas081a,cas082a,cas083a,cas084a,cas085a,cas086a,cas087a,cas088a,","Box","Retail - limited","","","","","","","","","","","","","","2830","1599","0","0","X","126","883.4100","443.9700","Daniel August Krentz,","","","X","","1","1","0","0","1","","","","","","","","","HOME"
"2146","4485","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Sebulba's Podracer & Anakin's Podracer","X","4485-1","4","3.99","","","","","72","","","Blister pack","Retail","4186193","4184334","5702014260306","673419017367","11","14.4","4.4","","","","","","","6918","1566","1","2","X","103","14.1100","7.6300","","01/01/2003 00:00:00","31/12/2003 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"5034","6206","1","2006","Normal","Star Wars","Licensed","Episode VI","TIE Interceptor","X","6206-1","19.99","17.99","","","","","212","1","sw0035b,","Box","Retail","4284994","4279458","5702014467682","673419078917","28.8","28.8","6","0.45","","","","","","10082","3717","2","3","X","165","91.2000","37.0200","","01/01/2006 00:00:00","31/07/2007 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"3815","7146","1","2001","Normal","Star Wars","Licensed","Episode IV","TIE Fighter","X","7146-1","20","17.99","","","","","171","2","sw0035,sw0036,","Box","Retail","1033562","1033562","5702012012563","042884071462","19.2","28.8","7.2","","","","","","","8500","2858","1","0","X","68","165.0300","42.0700","Henrik Andersen,","01/01/2001 00:00:00","31/12/2002 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"6498","8028","1","2008","Normal","Star Wars","Licensed","Mini Building Set","TIE Fighter","X","8028-1","4.99","","","","","","44","","","Polybag","Promotional","4631521","6020175","5702014955295","673419153782","14","14","1.2","","","","","6","12","9124","1473","4","1","X","37","5.9800","2.9900","","01/01/2008 00:00:00","31/12/2013 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"28591","10267","1","2019","Normal","Creator Expert","Model making","Winter Village Collection","Gingerbread House","X","10267-1","99.99","84.99","139.99","89.99","01/10/2019 00:00:00","29/10/2021 00:00:00","1477","2","hol168,hol169,","Box","LEGO exclusive","6250893","6250892","5702016368284","","47.8","27.8","8.8","1.448","21","26","13","12","","16788","3862","4","24","X","12","132.6900","115.6900","Florian Müller,Tiago Catarino,","01/10/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30317","10275","1","2020","Normal","Icons","Model making","Winter Village Collection","Elf Club House","X","10275-1","99.99","79.99","139.99","89.99","24/09/2020 00:00:00","15/10/2022 00:00:00","1197","4","hol203,hol204,hol205,hol206,","Box","LEGO exclusive","6294067","6294066","5702016668025","","47.6","28","7.2","1.324","","","","18","","16459","2916","5","32","X","9","117.7100","95.3200","Chris McVeigh,","01/10/2020 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30970","10281","1","2021","Normal","Icons","Model making","Botanical Collection","Bonsai Tree","X","10281-1","49.99","44.99","69.99","49.99","02/01/2021 00:00:00","03/11/2025 00:00:00","878","","","Box","Retail","6332928","6332925","5702016914177","673419340533","26.2","38.2","7.1","0.76","18","21","20","18","","27701","3462","13","12","X","25","40.5100","30.9500","Nick Vas,","01/01/2021 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"31844","10293","1","2021","Normal","Icons","Model making","Winter Village Collection","Santa's Visit","X","10293-1","99.99","89.99","139.99","99.99","17/09/2021 00:00:00","01/03/2024 00:00:00","1445","4","hol254,hol255,hol256,hol368,","Box","LEGO exclusive","6332956","6332954","5702016914313","673419340328","47.9","28","8.7","1.656","19","27","16","18","","15479","2602","15","13","X","0","109.4100","91.6500","Chris McVeigh,","01/10/2021 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32127","10298","1","2022","Normal","Icons","Model making","Vehicles","Vespa 125","X","10298-1","99.99","89.99","129.99","99.99","01/03/2022 00:00:00","03/11/2025 00:00:00","1106","","","Box","LEGO exclusive","6379758","6379757","5702017151861","673419355667","48","28.2","9.1","","22","35","12","18","","8321","2069","10","11","X","0","69.4200","46.2000","Florian Müller,","01/03/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
